model,model_days_active_market,model_days_active_dataset,model_organization,diff_adj_brier_score_market,n_forecasts_market,diff_adj_brier_score_dataset,n_forecasts_dataset,diff_adj_brier_score
QwQ-32B-Preview (scratchpad with freeze values),183,183,Qwen,0.07002110506983661,172,0.1864026896692071,2875,0.12821189736952185
Qwen2.5-72B-Instruct-Turbo (zero shot with freeze values),141,141,Qwen,0.07138174416318571,86,0.18573054541306705,1764,0.12855614478812638
Gemini-2.5-Flash-Preview-04-17 (zero shot with freeze values),155,155,Google,0.10257965479406583,55,0.15494375783622158,886,0.12876170631514372
Llama-3.3-70B-Instruct-Turbo (zero shot with freeze values),211,211,Meta,0.0737386513176434,380,0.1861895934203393,6998,0.12996412236899135
O4-Mini-2025-04-16 (zero shot),141,141,OpenAI,0.11512578216092056,86,0.14677107398980552,1764,0.13094842807536305
Grok-beta (zero shot),183,183,xAI,0.09313743160972884,117,0.17002865272531692,1989,0.13158304216752287
GPT-4-0613 (zero shot with freeze values),435,435,OpenAI,0.07853788634623021,118,0.18794942710184687,1389,0.13324365672403854
GPT-4.1-2025-04-14 (zero shot),155,155,OpenAI,0.11309997502987795,141,0.15366615480396578,2650,0.13338306491692187
Claude-3-5-Sonnet-20241022 (scratchpad),211,211,Anthropic,0.09966097973895921,380,0.16761480633831588,6998,0.13363789303863755
O4-Mini-2025-04-16 (scratchpad),141,141,OpenAI,0.11715653797023451,86,0.15211104522415925,1764,0.13463379159719688
Gemini-2.0-Flash-Lite-001 (scratchpad with freeze values),183,183,Google,0.09043630340460065,117,0.17967274355815438,1989,0.13505452348137753
Gemini-2.5-Flash-Preview-04-17 (scratchpad),155,155,Google,0.11616382661224767,55,0.15536952342978816,886,0.1357666750210179
Claude-3-5-Sonnet-20241022 (zero shot),211,211,Anthropic,0.10732697181764339,380,0.16464840793877317,6998,0.13598768987820828
GPT-4.1-2025-04-14 (scratchpad),155,155,OpenAI,0.11786974999370772,141,0.15526356647660727,2650,0.1365666582351575
Claude-3-5-Sonnet-20240620 (scratchpad with news with freeze values),435,435,Anthropic,0.10269293194318221,118,0.1708024081673616,1389,0.1367476700552719
Llama-4-Scout-17B-16E-Instruct (zero shot with freeze values),169,169,Meta,0.08476119217520311,200,0.18959975321532763,3526,0.13718047269526537
DeepSeek-R1 (scratchpad),211,211,DeepSeek,0.11713473325770518,294,0.1580272380072827,5234,0.13758098563249394
Claude-3-5-Sonnet-20240620 (zero shot),435,435,Anthropic,0.11234590162650601,498,0.16631898724216046,8387,0.13933244443433324
O3-Mini-2025-01-31 (zero shot),211,211,OpenAI,0.12029011756730268,233,0.16087459149503844,4056,0.14058235453117057
Claude-3-5-Sonnet-20240620 (scratchpad),435,435,Anthropic,0.11633038562751002,498,0.1652403355550256,8387,0.1407853605912678
Claude-3-7-Sonnet-20250219 (zero shot),211,211,Anthropic,0.12172412444922234,380,0.15985965215140535,6998,0.14079188830031386
GPT-4o (scratchpad with freeze values),435,435,OpenAI,0.0963505060957246,118,0.18551357397009738,1389,0.140932040032911
GPT-4-Turbo-2024-04-09 (scratchpad with freeze values),435,435,OpenAI,0.0985678069431822,118,0.185464761875065,1389,0.14201628440912362
GPT-4o-2024-11-20 (zero shot with freeze values with web search),197,197,OpenAI,0.11821719149036675,61,0.16701584792550234,1178,0.14261651970793454
GPT-4o-2024-05-13 (zero shot),183,183,OpenAI,0.11071924801337621,258,0.1764552625927308,4639,0.1435872553030535
DeepSeek-V3 (zero shot),211,211,DeepSeek,0.11929627563015416,294,0.1695939916957767,5234,0.14444513366296544
Claude-3-Opus-20240229 (scratchpad with freeze values),435,435,Anthropic,0.11232586409183662,204,0.17743047193779962,3153,0.14487816801481812
Meta-Llama-3.1-405B-Instruct-Turbo (zero shot),141,141,Meta,0.12273820180743217,86,0.16770841767313885,1764,0.14522330974028552
GPT-4o (scratchpad with news with freeze values),435,435,OpenAI,0.10321215863809746,118,0.19126101817456104,1389,0.14723658840632925
GPT-4o (zero shot with freeze values),435,435,OpenAI,0.08531298457030084,118,0.20978995985922627,1389,0.14755147221476356
GPT-4-Turbo-2024-04-09 (zero shot),435,435,OpenAI,0.12417203428791504,204,0.17195930955276947,3153,0.14806567192034226
Gemini-1.5-Pro (scratchpad with freeze values),435,435,Google,0.12036809084148731,118,0.17705821039918307,1389,0.1487131506203352
Llama-3.3-70B-Instruct-Turbo (zero shot),211,211,Meta,0.11146012192290658,380,0.1861895934203393,6998,0.14882485767162296
Llama-3-8b-Chat-Hf (zero shot with freeze values),435,435,Meta,0.09700162467892914,118,0.20117792472603693,1389,0.14908977470248302
QwQ-32B-Preview (scratchpad),183,183,Qwen,0.11347169018611566,172,0.1864026896692071,2875,0.14993718992766136
Qwen1.5-110B-Chat (zero shot with freeze values),435,435,Qwen,0.1024345028356694,118,0.19745771003921186,1389,0.14994610643744063
Llama-4-Scout-17B-16E-Instruct (zero shot),169,169,Meta,0.11048061092520312,200,0.18959975321532763,3526,0.15004018207026537
GPT-4o-2024-11-20 (scratchpad with freeze values with web search),197,197,OpenAI,0.131466981673505,61,0.17070464249256515,1178,0.15108581208303506
Claude-3-5-Sonnet-20240620 (scratchpad with news),435,435,Anthropic,0.133488463807589,118,0.1708024081673616,1389,0.15214543598747532
Imputed Forecaster,435,435,ForecastBench,0.05550511994378263,498,0.25,8387,0.1527525599718913
Qwen3-235B-A22B-Fp8-Tput (scratchpad),141,141,Qwen,0.14314227343533917,86,0.16318335763345632,1764,0.15316281553439776
GPT-4o-2024-11-20 (scratchpad with web search),197,197,OpenAI,0.1364329610177673,61,0.17070464249256515,1178,0.15356880175516624
Claude-3-5-Sonnet-20240620 (superforecaster with news 3),435,435,Anthropic,0.12426481329911443,118,0.18351189672027737,1389,0.1538883550096959
Llama-3-70b-Chat-Hf (zero shot with freeze values),435,435,Meta,0.09663906541775846,118,0.2111389159427396,1389,0.15388899068024903
GPT-4-0613 (scratchpad with freeze values),435,435,OpenAI,0.11774055046530571,118,0.1917780088153098,1389,0.15475927964030775
GPT-4-Turbo-2024-04-09 (scratchpad with news with freeze values),435,435,OpenAI,0.1141722476211483,118,0.19546540982322913,1389,0.15481882872218872
Mistral-Large-2407 (zero shot),183,183,Mistral,0.12862351929244598,258,0.18146565276302615,4639,0.15504458602773608
Gemini-1.5-Pro (scratchpad),435,435,Google,0.13376300609572458,118,0.17705821039918307,1389,0.15541060824745384
GPT-4o-2024-11-20 (zero shot with web search),197,197,OpenAI,0.1441447310177673,61,0.16701584792550234,1178,0.15558028947163483
Mixtral-8x22B-Instruct-V0.1 (zero shot with freeze values),435,435,Mistral AI,0.10285022199422794,118,0.20857952069435945,1389,0.15571487134429368
Claude-2.1 (zero shot with freeze values),435,435,Anthropic,0.09161362977332532,118,0.22050997425807436,1389,0.15606180201569986
O3-Mini-2025-01-31 (scratchpad),211,211,OpenAI,0.14771788001917419,61,0.16543394473464398,1181,0.1565759123769091
Gemini-2.0-Flash-Lite-001 (scratchpad),183,183,Google,0.13366470511400236,117,0.17967274355815438,1989,0.15666872433607837
Llama-3.3-70B-Instruct-Turbo (scratchpad),211,211,Meta,0.13667655863343287,380,0.17730831494791863,6998,0.15699243679067576
Mistral-Large-Latest (zero shot with freeze values),435,435,Mistral AI,0.10917237567199575,118,0.2057831204063825,1389,0.15747774803918912
Gemini-1.5-Flash (zero shot with freeze values),435,435,Google,0.10334967571220915,118,0.2123540419326604,1389,0.15785185882243477
Mistral-Large-Latest (scratchpad with freeze values),435,435,Mistral AI,0.12720368406182625,118,0.1915390599312205,1389,0.15937137199652338
Mixtral-8x7B-Instruct-V0.1 (zero shot with freeze values),435,435,Mistral AI,0.10570922042594944,118,0.21379398538838393,1389,0.15975160290716667
Mixtral-8x22B-Instruct-V0.1 (scratchpad with freeze values),435,435,Mistral AI,0.12262826033301272,118,0.1985486387649138,1389,0.16058844954896326
GPT-4-Turbo-2024-04-09 (scratchpad),435,435,OpenAI,0.1358053789770805,118,0.185464761875065,1389,0.16063507042607275
Gemini-1.5-Pro (scratchpad with news with freeze values),435,435,Google,0.13821639592623308,118,0.1836703421486431,1389,0.1609433690374381
GPT-4o (scratchpad with news),435,435,OpenAI,0.13079012473979237,118,0.19126101817456104,1389,0.16102557145717672
Llama-3-8b-Chat-Hf (zero shot),435,435,Meta,0.12194819516352118,118,0.20117792472603693,1389,0.16156305994477904
GPT-4o (scratchpad),435,435,OpenAI,0.1391367349092839,118,0.18551357397009738,1389,0.16232515443969064
Naive Forecaster,435,435,ForecastBench,0.05650408222799386,498,0.2686792181820087,8387,0.16259165020500127
Claude-3-Opus-20240229 (zero shot),435,435,Anthropic,0.1527543871800719,204,0.17275478476156006,3153,0.162754585970816
Qwen2.5-72B-Instruct-Turbo (zero shot),141,141,Qwen,0.14064488680743217,86,0.18573054541306705,1764,0.16318771611024963
Llama-3-70b-Chat-Hf (scratchpad with freeze values),435,435,Meta,0.1191659721974195,118,0.20889917512200523,1389,0.16403257365971236
GPT-4-Turbo-2024-04-09 (scratchpad with news),435,435,OpenAI,0.13559351457030083,118,0.19546540982322913,1389,0.16552946219676498
Qwen1.5-110B-Chat (scratchpad with freeze values),435,435,Qwen,0.14687232812962286,118,0.18478103257340914,1389,0.165826680351516
Claude-3-Opus-20240229 (scratchpad),435,435,Anthropic,0.15577840698399348,204,0.17743047193779962,3153,0.16660443946089654
Gemini-1.5-Pro (scratchpad with news),435,435,Google,0.15087656541775846,118,0.1836703421486431,1389,0.1672734537832008
GPT-4-0613 (scratchpad),435,435,OpenAI,0.1447045315194534,118,0.1917780088153098,1389,0.1682412701673816
Qwen1.5-110B-Chat (scratchpad with news with freeze values),435,435,Qwen,0.14729436202792798,118,0.19051724567636089,1389,0.16890580385214443
Qwen1.5-110B-Chat (scratchpad),435,435,Qwen,0.15432656541775847,118,0.18478103257340914,1389,0.16955379899558382
GPT-4o (zero shot),435,435,OpenAI,0.13290707389233472,118,0.20978995985922627,1389,0.1713485168757805
Claude-3-5-Sonnet-20240620 (scratchpad with SECOND news),435,435,Anthropic,0.13062848067199578,118,0.21220592962164528,1389,0.17141720514682052
Gemini-1.5-Flash (scratchpad with freeze values),435,435,Google,0.12898927728216525,118,0.2139198374690175,1389,0.17145455737559137
Mixtral-8x22B-Instruct-V0.1 (scratchpad with news with freeze values),435,435,Mistral AI,0.13500198914657202,118,0.21005914992402108,1389,0.17253056953529655
Gemini-2.0-Flash-Lite-001 (zero shot with freeze values),183,183,Google,0.12771229058408784,117,0.21773790042089947,1989,0.17272509550249365
GPT-4o (superforecaster with news 1),435,435,OpenAI,0.1342590160957246,118,0.2115916802713933,1389,0.17292534818355895
Gemini-2.0-Flash-Lite-001 (zero shot),183,183,Google,0.13119399571229295,117,0.21773790042089947,1989,0.1744659480665962
Mistral-Large-Latest (scratchpad),435,435,Mistral AI,0.16008503999402968,118,0.1915390599312205,1389,0.1758120499626251
GPT-4-0613 (zero shot),435,435,OpenAI,0.16582995524826694,118,0.18794942710184687,1389,0.1768896911750569
Mixtral-8x22B-Instruct-V0.1 (scratchpad with news),435,435,Mistral AI,0.14652741287538562,118,0.21005914992402108,1389,0.17829328139970335
Qwen1.5-110B-Chat (scratchpad with news),435,435,Qwen,0.16703419253640256,118,0.19051724567636089,1389,0.17877571910638174
Claude-3-5-Sonnet-20240620 (superforecaster with news 2),435,435,Anthropic,0.1535005230448771,118,0.2063142463963033,1389,0.1799073847205902
Mixtral-8x7B-Instruct-V0.1 (zero shot),435,435,Mistral AI,0.1465409721974195,118,0.21379398538838393,1389,0.1801674787929017
Mixtral-8x22B-Instruct-V0.1 (scratchpad),435,435,Mistral AI,0.16218419253640257,118,0.1985486387649138,1389,0.1803664156506582
Qwen1.5-110B-Chat (zero shot),435,435,Qwen,0.16447148067199577,118,0.19745771003921186,1389,0.18096459535560383
Mistral-Large-Latest (zero shot),435,435,Mistral AI,0.1565313874516568,118,0.2057831204063825,1389,0.18115725392901966
"LLM Crowd (gpt-4o, claude-3.5-sonnet, gemini-1.5-pro) geometric mean with news",435,435,ForecastBench,0.12353280612646414,118,0.24006484835664235,1389,0.18179882724155325
Llama-3-70b-Chat-Hf (zero shot),435,435,Meta,0.15293842982453815,118,0.2111389159427396,1389,0.18203867288363887
Llama-3-8b-Chat-Hf (scratchpad with freeze values),435,435,Meta,0.12494965872284322,118,0.2391811405647698,1389,0.18206539964380652
Claude-3-Opus-20240229 (scratchpad with news with freeze values),435,435,Anthropic,0.16154677164973166,118,0.2031690275338123,1389,0.18235789959177198
Gemini-1.5-Pro (superforecaster with news 3),435,435,Google,0.1643545315194534,118,0.2008983572674336,1389,0.1826264443934435
"LLM Crowd (gpt-4o, claude-3.5-sonnet, gemini-1.5-pro) geometric mean log odds with news",435,435,ForecastBench,0.12617229709109018,118,0.24056414727133202,1389,0.1833682221812111
"LLM Crowd (gpt-4o, claude-3.5-sonnet, gemini-1.5-pro) median with news",435,435,ForecastBench,0.12705184361993288,118,0.2400961500020035,1389,0.1835739968109682
Claude-3-Opus-20240229 (superforecaster with news 2),435,435,Anthropic,0.1738460569431822,118,0.1964002485561305,1389,0.18512315274965635
Mixtral-8x22B-Instruct-V0.1 (zero shot),435,435,Mistral AI,0.16515283660419916,118,0.20857952069435945,1389,0.1868661786492793
Claude-3-Haiku-20240307 (zero shot with freeze values),435,435,Anthropic,0.12984906707898103,204,0.24445864352041935,3153,0.1871538552997002
Gemini-1.5-Flash (scratchpad with news with freeze values),435,435,Google,0.1458689382991144,118,0.22874856317096132,1389,0.18730875073503786
Mistral-Large-Latest (scratchpad with news with freeze values),435,435,Mistral AI,0.16620792134996187,118,0.20970687850573455,1389,0.1879573999278482
GPT-4-Turbo-2024-04-09 (superforecaster with news 1),435,435,OpenAI,0.17091077753640255,118,0.2062015184265409,1389,0.18855614798147172
Gemini-1.5-Flash (scratchpad),435,435,Google,0.16658927728216527,118,0.2139198374690175,1389,0.19025455737559138
Claude-3-Opus-20240229 (scratchpad with news),435,435,Anthropic,0.17796893829911442,118,0.2031690275338123,1389,0.19056898291646335
Mistral-Large-Latest (scratchpad with news),435,435,Mistral AI,0.1803816501635212,118,0.20970687850573455,1389,0.19504426433462788
Claude-2.1 (scratchpad with news with freeze values),435,435,Anthropic,0.1667589806719958,118,0.22617023343734002,1389,0.1964646070546679
Llama-3-70b-Chat-Hf (scratchpad),435,435,Meta,0.18566131118047036,118,0.20889917512200523,1389,0.1972802431512378
Claude-2.1 (zero shot),435,435,Anthropic,0.17826215863809747,118,0.22050997425807436,1389,0.19938606644808593
Mixtral-8x22B-Instruct-V0.1 (superforecaster with news 2),435,435,Mistral AI,0.1716452094855551,118,0.2297088763459073,1389,0.20067704291573119
Gemini-1.5-Pro (superforecaster with news 2),435,435,Google,0.18060392982453813,118,0.22336341522279718,1389,0.20198367252366767
Gemini-1.5-Flash (scratchpad with news),435,435,Google,0.17635708236691103,118,0.22874856317096132,1389,0.20255282276893616
Gemini-1.5-Flash (zero shot),435,435,Google,0.1947689382991144,118,0.2123540419326604,1389,0.2035614901158874
Claude-3-Haiku-20240307 (zero shot),435,435,Anthropic,0.16445046561144444,204,0.24445864352041935,3153,0.2044545545659319
Mixtral-8x7B-Instruct-V0.1 (scratchpad),435,435,Mistral AI,0.18957148067199578,118,0.22454935510760637,1389,0.20706041788980106
Llama-3-8b-Chat-Hf (scratchpad),435,435,Meta,0.18383503999402967,118,0.2391811405647698,1389,0.21150809027939974
Mixtral-8x7B-Instruct-V0.1 (scratchpad with freeze values),435,435,Mistral AI,0.21781046372284324,118,0.22454935510760637,1389,0.2211799094152248
Claude-3-Haiku-20240307 (scratchpad with freeze values),435,435,Anthropic,0.20127148067199577,118,0.24437980867132128,1389,0.22282564467165852
Llama-2-70b-Chat-Hf (scratchpad with freeze values),435,435,Meta,0.20420813321436865,118,0.24668452069435945,1389,0.22544632695436406
Llama-2-70b-Chat-Hf (scratchpad),435,435,Meta,0.20649859931606357,118,0.24668452069435945,1389,0.22659156000521152
Claude-3-Haiku-20240307 (scratchpad),435,435,Anthropic,0.21637741287538562,118,0.24437980867132128,1389,0.23037861077335345
Llama-2-70b-Chat-Hf (zero shot with freeze values),435,435,Meta,0.21350672090965314,118,0.25132773319407253,1389,0.23241722705186285
GPT-3.5-Turbo-0125 (scratchpad),435,435,OpenAI,0.2139409721974195,118,0.2631618101112061,1389,0.2385513911543128
GPT-3.5-Turbo-0125 (scratchpad with freeze values),435,435,OpenAI,0.21453419253640255,118,0.2631618101112061,1389,0.23884800132380432
Mixtral-8x7B-Instruct-V0.1 (scratchpad with news with freeze values),435,435,Mistral AI,0.2080324976211483,118,0.27113409232862873,1389,0.2395832949748885
Claude-3-Haiku-20240307 (scratchpad with news with freeze values),435,435,Anthropic,0.19853842982453812,118,0.28079197569795916,1389,0.23966520276124864
Mixtral-8x7B-Instruct-V0.1 (scratchpad with news),435,435,Mistral AI,0.20993927728216524,118,0.27113409232862873,1389,0.24053668480539697
Claude-3-Haiku-20240307 (scratchpad with news),435,435,Anthropic,0.20864436202792797,118,0.28079197569795916,1389,0.24471816886294356
Always 0.5,435,435,ForecastBench,0.25,498,0.25,8387,0.25
GPT-3.5-Turbo-0125 (zero shot with freeze values),435,435,OpenAI,0.12625585246937304,118,0.41928700809536734,1389,0.27277143028237016
Llama-2-70b-Chat-Hf (zero shot),435,435,Meta,0.3030162505601398,118,0.25132773319407253,1389,0.27717199187710617
Always 0,435,435,ForecastBench,0.16265060240963858,498,0.3964468820794086,8387,0.2795487422445236
GPT-3.5-Turbo-0125 (zero shot),435,435,OpenAI,0.24228842982453816,118,0.41928700809536734,1389,0.33078771895995274
Random Uniform,435,435,ForecastBench,0.33485246392763046,498,0.3355069761832939,8387,0.33517972005546215
Always 1,435,435,ForecastBench,0.8373493975903614,498,0.6035531179205914,8387,0.7204512577554765
