model,model_days_active_market,model_days_active_dataset,organization,diff_adj_brier_score_market,n_forecasts_market,diff_adj_brier_score_dataset,n_forecasts_dataset,diff_adj_brier_score
Gemini-2.0-Flash-Lite-001 (scratchpad with freeze values),164,164,Google,0.0991010844098969,116,0.18074450340768888,1760,0.1399227939087929
Claude-3-Opus-20240229 (scratchpad with freeze values),416,416,Anthropic,0.10390139076465096,199,0.1768560979868109,3151,0.14037874437573095
Gemini-1.5-Pro (scratchpad with freeze values),416,416,Google,0.10454614904813583,118,0.1767768232334856,1389,0.1406614861408107
DeepSeek-R1 (scratchpad),192,192,DeepSeek,0.1243089513413555,291,0.15774103347698612,4712,0.14102499240917082
Llama-3-8b-Chat-Hf (zero shot with freeze values),416,416,Meta,0.0811796828855777,118,0.20089653756033946,1389,0.1410381102229586
Grok-3-Mini-Beta (zero shot),136,136,xAI,0.11246274023798544,135,0.1696185970914676,2648,0.14104066866472653
Claude-3-5-Sonnet-20240620 (scratchpad),416,416,Anthropic,0.11713086335204081,490,0.16524114804145998,7863,0.14118600569675038
Qwen1.5-110B-Chat (zero shot with freeze values),416,416,Qwen,0.08661256104231796,118,0.19703233439259288,1389,0.14182244771745542
Llama-4-Scout-17B-16E-Instruct (zero shot with freeze values),150,150,Meta,0.0951189154241372,193,0.18921765017610165,3524,0.14216828280011942
GPT-4o-2024-11-20 (zero shot with freeze values with web search),178,178,OpenAI,0.11807484372394006,60,0.16724472440297627,885,0.14265978406345817
GPT-4-Turbo-2024-04-09 (zero shot),416,416,OpenAI,0.11601257151841979,199,0.17124852102711557,3151,0.14363054627276767
Claude-3-7-Sonnet-20250219 (zero shot),192,192,Anthropic,0.12805337747935475,372,0.15941442578447457,6474,0.14373390163191466
Claude-3-5-Sonnet-20240620 (scratchpad with news),416,416,Anthropic,0.11766652201423755,118,0.17050662215357199,1389,0.14408657208390477
O3-Mini-2025-01-31 (zero shot),192,192,OpenAI,0.12875075200531003,231,0.16013634619203676,3827,0.1444435490986734
DeepSeek-V3 (scratchpad),192,192,DeepSeek,0.1321924373808744,291,0.15869486296128155,4712,0.14544365017107797
Llama-3-70b-Chat-Hf (zero shot with freeze values),416,416,Meta,0.08081712362440702,118,0.21078553453658136,1389,0.1458013290804942
GPT-4o-2024-05-13 (zero shot),164,164,OpenAI,0.11684586348078119,251,0.17488991784785485,4408,0.14586789066431802
Meta-Llama-3.1-405B-Instruct-Turbo (zero shot),122,122,Meta,0.12580192869735202,81,0.1666384121936037,1762,0.14622017044547786
GPT-4-0613 (scratchpad with freeze values),416,416,OpenAI,0.10191860867195424,118,0.19149662164961231,1389,0.1467076151607833
GPT-4-Turbo-2024-04-09 (scratchpad with news with freeze values),416,416,OpenAI,0.09835030582779686,118,0.19511202841707093,1389,0.1467311671224339
DeepSeek-V3 (zero shot),192,192,DeepSeek,0.12646528624685377,291,0.16800419949519257,4712,0.14723474287102317
Gemini-1.5-Pro (zero shot with freeze values),416,416,Google,0.09663292861711742,118,0.1980615604545079,1389,0.14734724453581266
Gemini-1.5-Pro (scratchpad),416,416,Google,0.11794106430237311,118,0.1767768232334856,1389,0.14735894376792935
Mixtral-8x22B-Instruct-V0.1 (zero shot with freeze values),416,416,Mistral AI,0.0870282802008765,118,0.2080821508072797,1389,0.1475552155040781
Claude-2.1 (zero shot with freeze values),416,416,Anthropic,0.07579168797997385,118,0.2202285870923769,1389,0.14801013753617537
Mistral-Large-Latest (zero shot with freeze values),416,416,Mistral AI,0.0933504338786443,118,0.2051417620383812,1389,0.14924609795851274
Mistral-Large-2407 (scratchpad with freeze values),164,164,Mistral,0.10353150188715568,251,0.19534647410919787,4408,0.1494389879981768
Gemini-1.5-Flash (zero shot with freeze values),416,416,Google,0.08752773391885768,118,0.2119286662860414,1389,0.14972820010244953
Llama-3.3-70B-Instruct-Turbo (zero shot),192,192,Meta,0.11776031038258056,372,0.18408401228432011,6474,0.15092216133345032
Mistral-Large-Latest (scratchpad with freeze values),416,416,Mistral AI,0.1113817422684748,118,0.19096969580367998,1389,0.1511757190360774
Mixtral-8x7B-Instruct-V0.1 (zero shot with freeze values),416,416,Mistral AI,0.08988727863259796,118,0.2134406039822257,1389,0.15166394130741184
Mixtral-8x22B-Instruct-V0.1 (scratchpad with freeze values),416,416,Mistral AI,0.10680631853966127,118,0.1979792746373733,1389,0.1523927965885173
Imputed Forecaster,416,416,ForecastBench,0.054897598432660705,490,0.25,7863,0.15244879921633037
GPT-4o-2024-11-20 (scratchpad with freeze values with web search),178,178,OpenAI,0.13163921374346393,60,0.17354608033517968,885,0.1525926470393218
GPT-4o (scratchpad with news),416,416,OpenAI,0.11496818294644093,118,0.1909076367684028,1389,0.15293790985742187
Gemini-1.5-Pro (scratchpad with news with freeze values),416,416,Google,0.12239445413288161,118,0.18353294346386717,1389,0.1529636987983744
Llama-3-8b-Chat-Hf (zero shot),416,416,Meta,0.10612625337016973,118,0.20089653756033946,1389,0.1535113954652546
GPT-4o (scratchpad),416,416,OpenAI,0.12331479311593246,118,0.1850881983234784,1389,0.15420149571970543
QwQ-32B-Preview (scratchpad),164,164,Qwen,0.12159459170112094,170,0.1872008019709295,2646,0.15439769683602522
Llama-4-Scout-17B-16E-Instruct (scratchpad with freeze values),150,150,Meta,0.09536691931014757,193,0.21360588797405852,3524,0.15448640364210303
Qwen3-235B-A22B-Fp8-Tput (scratchpad),122,122,Qwen,0.14738649857389524,81,0.1620794417566003,1762,0.15473297016524779
GPT-4o-2024-11-20 (scratchpad with web search),178,178,OpenAI,0.13647962607679728,60,0.17354608033517968,885,0.15501285320598848
Llama-4-Scout-17B-16E-Instruct (zero shot),150,150,Meta,0.1216220695692149,193,0.18921765017610165,3524,0.15541985987265827
GPT-4o-2024-11-20 (zero shot with web search),178,178,OpenAI,0.1443249089101306,60,0.16724472440297627,885,0.15578481665655344
Llama-3-70b-Chat-Hf (scratchpad with freeze values),416,416,Meta,0.10334403040406803,118,0.20850259717157055,1389,0.1559233137878193
GPT-4-Turbo-2024-04-09 (scratchpad with news),416,416,OpenAI,0.11977157277694939,118,0.19511202841707093,1389,0.15744180059701016
Mixtral-8x22B-Instruct-V0.1 (superforecaster with news 1),416,416,Mistral AI,0.104835745065085,118,0.2100821420599795,1389,0.15745894356253226
Qwen1.5-110B-Chat (scratchpad with freeze values),416,416,Qwen,0.13105038633627142,118,0.18435565692679015,1389,0.15770302163153077
O3-Mini-2025-01-31 (scratchpad),192,192,OpenAI,0.1544598385853966,231,0.16135518990774095,3827,0.1579075142465688
Claude-3-Opus-20240229 (superforecaster with news 1),416,416,Anthropic,0.13204893082779687,118,0.1839509679419089,1389,0.1579999493848529
Mistral-Large-2407 (zero shot),164,164,Mistral,0.13610802280349033,251,0.18061993145947008,4408,0.1583639771314802
Llama-4-Maverick-17B-128E-Instruct-FP8 (scratchpad),150,150,Meta,0.13808228200444805,193,0.17865678468234453,3524,0.1583695333433963
Claude-3-Opus-20240229 (zero shot),416,416,Anthropic,0.14549900362897256,199,0.1719536728307705,3151,0.15872633822987153
Meta-Llama-3.1-405B-Instruct-Turbo (scratchpad),122,122,Meta,0.14559205104303102,81,0.17288744738089087,1762,0.15923974921196093
Gemini-1.5-Pro (scratchpad with news),416,416,Google,0.135054623624407,118,0.18353294346386717,1389,0.1592937835441371
GPT-4-Turbo-2024-04-09 (scratchpad),416,416,OpenAI,0.137732056706862,199,0.18170977142381506,3151,0.15972091406533853
Llama-3.3-70B-Instruct-Turbo (scratchpad),192,192,Meta,0.14348489626967734,372,0.1766710279238011,6474,0.16007796209673922
GPT-4-0613 (scratchpad),416,416,OpenAI,0.12888258972610195,118,0.19149662164961231,1389,0.16018960568785712
Qwen1.5-110B-Chat (scratchpad with news with freeze values),416,416,Qwen,0.1314724202345765,118,0.1900918700297419,1389,0.16078214513215922
Gemini-2.0-Flash-Lite-001 (scratchpad),164,164,Google,0.14149524820300033,116,0.18074450340768888,1760,0.1611198758053446
Qwen1.5-110B-Chat (scratchpad),416,416,Qwen,0.13850462362440702,118,0.18435565692679015,1389,0.1614301402755986
Naive Forecaster,416,416,ForecastBench,0.054897598432660705,490,0.26814622268245303,7863,0.16152191055755688
Claude-3-Opus-20240229 (scratchpad),416,416,Anthropic,0.14784875257369617,199,0.1768560979868109,3151,0.16235242528025354
GPT-4o-2024-05-13 (scratchpad),164,164,OpenAI,0.12787255666803216,251,0.19728573227616703,4408,0.1625791444720996
Qwen3-235B-A22B-Fp8-Tput (zero shot with freeze values),122,122,Qwen,0.135267634005994,81,0.19044919539451177,1762,0.1628584147002529
GPT-4o (zero shot),416,416,OpenAI,0.11708513209898327,118,0.20943657845306804,1389,0.16326085527602566
Gemini-1.5-Flash (scratchpad with freeze values),416,416,Google,0.1131673354888138,118,0.21349446182239848,1389,0.16333089865560613
Claude-3-5-Sonnet-20240620 (scratchpad with SECOND news),416,416,Anthropic,0.11480653887864434,118,0.21188134591167135,1389,0.16334394239515784
Qwen2.5-72B-Instruct-Turbo (zero shot),122,122,Qwen,0.1433377300553767,81,0.18529212010122761,1762,0.16431492507830214
Mixtral-8x22B-Instruct-V0.1 (scratchpad with news with freeze values),416,416,Mistral AI,0.11918004735322058,118,0.2096337742774021,1389,0.16440691081531134
GPT-4o (superforecaster with news 1),416,416,OpenAI,0.11843707430237313,118,0.2108351311186548,1389,0.16463610271051396
Mistral-Large-Latest (scratchpad),416,416,Mistral AI,0.1442630982006782,118,0.19096969580367998,1389,0.1676163970021791
GPT-4-0613 (zero shot),416,416,OpenAI,0.1500080134549155,118,0.1875960456956886,1389,0.16880202957530205
Llama-4-Maverick-17B-128E-Instruct-FP8 (zero shot with freeze values),150,150,Meta,0.15133577609771232,193,0.18732880227598814,3524,0.16933228918685023
Mixtral-8x22B-Instruct-V0.1 (scratchpad with news),416,416,Mistral AI,0.13070547108203415,118,0.2096337742774021,1389,0.17016962267971814
Qwen1.5-110B-Chat (scratchpad with news),416,416,Qwen,0.15121225074305109,118,0.1900918700297419,1389,0.1706520603863965
Claude-3-5-Sonnet-20240620 (superforecaster with news 2),416,416,Anthropic,0.13767858125152566,118,0.20586007305350001,1389,0.17176932715251284
Mixtral-8x7B-Instruct-V0.1 (zero shot),416,416,Mistral AI,0.13071903040406804,118,0.2134406039822257,1389,0.17207981719314686
Mixtral-8x22B-Instruct-V0.1 (scratchpad),416,416,Mistral AI,0.1463622507430511,118,0.1979792746373733,1389,0.1721707626902122
Qwen1.5-110B-Chat (zero shot),416,416,Qwen,0.1486495388786443,118,0.19703233439259288,1389,0.17284093663561859
Mistral-Large-Latest (zero shot),416,416,Mistral AI,0.14070944565830532,118,0.2051417620383812,1389,0.17292560384834327
"LLM Crowd (gpt-4o, claude-3.5-sonnet, gemini-1.5-pro) geometric mean with news",416,416,ForecastBench,0.10771086433311267,118,0.23965210688309752,1389,0.1736814856081051
Llama-3-8b-Chat-Hf (scratchpad with freeze values),416,416,Meta,0.10912771692949175,118,0.23875576491815081,1389,0.17394174092382128
Llama-3-70b-Chat-Hf (zero shot),416,416,Meta,0.13711648803118667,118,0.21078553453658136,1389,0.17395101128388402
Claude-3-Opus-20240229 (scratchpad with news with freeze values),416,416,Anthropic,0.14572482985638022,118,0.20264285995054823,1389,0.17418384490346422
Gemini-1.5-Pro (zero shot),416,416,Google,0.15048936938711888,118,0.1980615604545079,1389,0.1742754649208134
Gemini-1.5-Pro (superforecaster with news 3),416,416,Google,0.14853258972610195,118,0.2006889643421969,1389,0.17461077703414943
Mistral-Large-2407 (scratchpad),164,164,Mistral,0.15439407459631901,251,0.19534647410919787,4408,0.17487027435275843
"LLM Crowd (gpt-4o, claude-3.5-sonnet, gemini-1.5-pro) geometric mean log odds with news",416,416,ForecastBench,0.11035035529773873,118,0.2400993058062825,1389,0.1752248305520106
"LLM Crowd (gpt-4o, claude-3.5-sonnet, gemini-1.5-pro) median with news",416,416,ForecastBench,0.1112299018265814,118,0.23962757781110805,1389,0.17542873981884471
Qwen1.5-110B-Chat (superforecaster with news 1),416,416,Qwen,0.14886189811593245,118,0.20273957619424873,1389,0.1758007371550906
Gemini-2.0-Flash-Lite-001 (zero shot with freeze values),164,164,Google,0.1372372094098969,116,0.21550904715768887,1760,0.17637312828379287
Llama-4-Scout-17B-16E-Instruct (scratchpad),150,150,Meta,0.13976868101999212,193,0.21360588797405852,3524,0.1766872844970253
Claude-3-Opus-20240229 (superforecaster with news 2),416,416,Anthropic,0.15802411514983075,118,0.19590287866905076,1389,0.17696349690944074
Mistral-Large-Latest (superforecaster with news 1),416,416,Mistral AI,0.14010878633627144,118,0.21500454155601978,1389,0.1775566639461456
Gemini-2.0-Flash-Lite-001 (zero shot),164,164,Google,0.14021013613403482,116,0.21550904715768887,1760,0.17785959164586185
Mixtral-8x22B-Instruct-V0.1 (zero shot),416,416,Mistral AI,0.14933089481084771,118,0.2080821508072797,1389,0.1787065228090637
Gemini-1.5-Flash (scratchpad with news with freeze values),416,416,Google,0.13004699650576296,118,0.22825119328388158,1389,0.17914909489482228
Mistral-Large-Latest (scratchpad with news with freeze values),416,416,Mistral AI,0.1503859795566104,118,0.20913751437819403,1389,0.17976174696740221
GPT-4-Turbo-2024-04-09 (superforecaster with news 1),416,416,OpenAI,0.1550888357430511,118,0.20561199591167134,1389,0.18035041582736122
Gemini-1.5-Pro (superforecaster with news 1),416,416,Google,0.1536099434549155,118,0.2103617782010882,1389,0.18198586082800183
Gemini-1.5-Flash (scratchpad),416,416,Google,0.15076733548881383,118,0.21349446182239848,1389,0.18213089865560617
Claude-3-Haiku-20240307 (zero shot with freeze values),416,416,Anthropic,0.12085234382684923,199,0.243849028802425,3151,0.18235068631463713
Claude-3-Opus-20240229 (scratchpad with news),416,416,Anthropic,0.16214699650576295,118,0.20264285995054823,1389,0.1823949282281556
QwQ-32B-Preview (zero shot with freeze values),164,164,Qwen,0.1828910115834739,170,0.18927259092525112,2646,0.18608180125436252
Mistral-Large-Latest (scratchpad with news),416,416,Mistral AI,0.16455970837016973,118,0.20913751437819403,1389,0.18684861137418188
Llama-4-Maverick-17B-128E-Instruct-FP8 (zero shot),150,150,Meta,0.1866738726780232,193,0.18732880227598814,3524,0.18700133747700567
Claude-2.1 (scratchpad with news with freeze values),416,416,Anthropic,0.15093703887864432,118,0.225744857790721,1389,0.18834094833468268
Llama-3-70b-Chat-Hf (scratchpad),416,416,Meta,0.1698393693871189,118,0.20850259717157055,1389,0.18917098327934473
Mistral-Large-Latest (superforecaster with news 2),416,416,Mistral AI,0.17094181760745789,118,0.20771159614053303,1389,0.18932670687399544
Claude-2.1 (zero shot),416,416,Anthropic,0.16244021684474602,118,0.2202285870923769,1389,0.19133440196856144
DeepSeek-R1 (zero shot with freeze values),192,192,DeepSeek,0.19474856830870946,291,0.18962177636747848,4712,0.19218517233809396
GPT-4o (superforecaster with news 2),416,416,OpenAI,0.14150479540406805,118,0.2434807525207426,1389,0.19249277396240533
Mixtral-8x22B-Instruct-V0.1 (superforecaster with news 2),416,416,Mistral AI,0.15582326769220362,118,0.22921150645882757,1389,0.19251738707551558
Gemini-1.5-Pro (superforecaster with news 2),416,416,Google,0.16478198803118668,118,0.2229380395761782,1389,0.19386001380368245
Gemini-1.5-Flash (scratchpad with news),416,416,Google,0.16053514057355955,118,0.22825119328388158,1389,0.19439316692872055
Gemini-1.5-Flash (zero shot),416,416,Google,0.17894699650576296,118,0.2119286662860414,1389,0.19543783139590218
Claude-2.1 (scratchpad with news),416,416,Anthropic,0.17108258972610194,118,0.225744857790721,1389,0.1984137237584115
Mixtral-8x7B-Instruct-V0.1 (scratchpad),416,416,Mistral AI,0.1737495388786443,118,0.2241239794609874,1389,0.19893675916981585
Claude-3-Haiku-20240307 (zero shot),416,416,Anthropic,0.15577036041289216,199,0.243849028802425,3151,0.19980969460765857
GPT-4-Turbo-2024-04-09 (superforecaster with news 2),416,416,OpenAI,0.17321669989559346,118,0.22689476579809642,1389,0.20005573284684494
Llama-3.2-3B-Instruct-Turbo (zero shot with freeze values),122,122,Meta,0.21860426158922308,81,0.18202549710699648,1762,0.20031487934810976
Llama-3-8b-Chat-Hf (scratchpad),416,416,Meta,0.1680130982006782,118,0.23875576491815081,1389,0.2033844315594145
Qwen3-235B-A22B-Fp8-Tput (zero shot),122,122,Qwen,0.21971056956154955,81,0.19044919539451177,1762,0.20507988247803066
Mixtral-8x7B-Instruct-V0.1 (scratchpad with freeze values),416,416,Mistral AI,0.20198852192949177,118,0.2241239794609874,1389,0.2130562506952396
Gemini-1.5-Flash (superforecaster with news 1),416,416,Google,0.18630601133627145,118,0.2464224820095835,1389,0.21636424667292747
Llama-2-70b-Chat-Hf (scratchpad with freeze values),416,416,Meta,0.1883861914210172,118,0.2462447461996483,1389,0.21731546881033276
Llama-2-70b-Chat-Hf (scratchpad),416,416,Meta,0.1906766575227121,118,0.2462447461996483,1389,0.21846070186118022
Claude-3-Haiku-20240307 (superforecaster with news 2),416,416,Anthropic,0.1932393693871189,118,0.24484059861145535,1389,0.21903998399928712
Mixtral-8x7B-Instruct-V0.1 (superforecaster with news 1),416,416,Mistral AI,0.1846502298955935,118,0.2557529202097275,1389,0.2202015750526605
Gemini-1.5-Flash (superforecaster with news 2),416,416,Google,0.19566903040406802,118,0.2468985114984244,1389,0.2212837709512462
Claude-2.1 (superforecaster with news 1),416,416,Anthropic,0.19977219989559347,118,0.2443866043709946,1389,0.22207940213329402
Llama-3.2-3B-Instruct-Turbo (zero shot),122,122,Meta,0.2634454337590804,81,0.18202549710699648,1762,0.22273546543303846
Llama-2-70b-Chat-Hf (zero shot with freeze values),416,416,Meta,0.19768477911630167,118,0.25068637482607126,1389,0.22418557697118646
Claude-2.1 (superforecaster with news 2),416,416,Anthropic,0.21587326769220364,118,0.24111491178640138,1389,0.22849408973930252
GPT-3.5-Turbo-0125 (scratchpad),416,416,OpenAI,0.19811903040406803,118,0.2625204517432048,1389,0.23031974107363642
GPT-3.5-Turbo-0125 (scratchpad with freeze values),416,416,OpenAI,0.1987122507430511,118,0.2625204517432048,1389,0.23061635124312796
Mixtral-8x7B-Instruct-V0.1 (scratchpad with news with freeze values),416,416,Mistral AI,0.19221055582779686,118,0.27070871668200974,1389,0.2314596362549033
Claude-3-Haiku-20240307 (scratchpad with news with freeze values),416,416,Anthropic,0.18271648803118667,118,0.2802226115704186,1389,0.23146954980080264
Mixtral-8x7B-Instruct-V0.1 (scratchpad with news),416,416,Mistral AI,0.1941173354888138,118,0.27070871668200974,1389,0.23241302608541176
Claude-3-Haiku-20240307 (scratchpad with news),416,416,Anthropic,0.19282242023457652,118,0.2802226115704186,1389,0.23652251590249757
Always 0.5,416,416,ForecastBench,0.25,490,0.25,7863,0.25
GPT-3.5-Turbo-0125 (zero shot with freeze values),416,416,OpenAI,0.1104339106760216,118,0.41871764396782685,1389,0.2645757773219242
Llama-2-70b-Chat-Hf (zero shot),416,416,Meta,0.2871943087667884,118,0.25068637482607126,1389,0.26894034179642984
Always 0,416,416,ForecastBench,0.163265306122449,490,0.39361566831997963,7863,0.2784404872212143
Claude-3-Haiku-20240307 (superforecaster with news 1),416,416,Anthropic,0.26244521989559344,118,0.30308363028892116,1389,0.2827644250922573
